Title,URL,Description,Stars,Last Updated
Rayyan9477/Solace-AI,https://github.com/Rayyan9477/Solace-AI,"""Solace AI: Your Empathetic Digital Confidant"": Solace AI is an empathetic mental health companion that understands your emotions and per…",15,10 days ago
themuditjain/Mental-Health-Chatbot-using-AI,https://github.com/themuditjain/Mental-Health-Chatbot-using-AI,,2,"on Apr 12, 2023"
GDGC-MET/HealthandWellness-VibeCoding,https://github.com/GDGC-MET/HealthandWellness-VibeCoding,"In our busy lives, prioritizing mental and physical health can be a daily challenge. This hackathon problem focuses on using AI to create…",1,"on Oct 9, 2025"
rajatsinghten/Calmify,https://github.com/rajatsinghten/Calmify,An AI integrated web app to keep a tab on Mental Health,2,"on Dec 31, 2025"
Sandeepkasturi/SoulCare-AI,https://github.com/Sandeepkasturi/SoulCare-AI,"An AI for Mental Health Care, Designed for Love and Support.",3,"on Aug 8, 2024"
Alledoux/HealthySportMind,https://github.com/Alledoux/HealthySportMind,An AI-powered platform providing real-time mental health support for athletes via push notification protocols,3,8 hours ago
flackzmge/MentalHealthChatBot-With-Tensorflow-OpenAI,https://github.com/flackzmge/MentalHealthChatBot-With-Tensorflow-OpenAI,This is a PyQt6 chatbot that provides answers to frequently asked questions about mental health. The chatbot uses a Tensorflow trained mo…,8,"on Dec 20, 2022"
NISHAKAR06/Mental_Wellness_AI,https://github.com/NISHAKAR06/Mental_Wellness_AI,"A comprehensive mental health support platform featuring AI-powered psychotherapy sessions, emotion monitoring, and therapeutic gaming ex…",2,"on Dec 22, 2025"
Turwash/AsanaAi,https://github.com/Turwash/AsanaAi,"AsanaAi is not just another fitness app; it's a comprehensive tool designed to cater to various aspects of holistic health, ranging from …",1,"on May 19, 2024"
Cybrite/Project-N,https://github.com/Cybrite/Project-N,"AI-powered healthcare platform built with Next.js and React. Provides virtual doctor consultations, veterinary care, elder support, mental …",2,"on Aug 1, 2025"
03nnn/SoulLink_AI_Mental_health_tracker,https://github.com/03nnn/SoulLink_AI_Mental_health_tracker,"SOULLINK is a Raspberry Pi-based desktop robot with sensors, a camera, mic, servo motors, and an LCD screen. It empathetically interacts …",2,"on May 18, 2025"
Alirizvi11/Mental_Health_Chatbot,https://github.com/Alirizvi11/Mental_Health_Chatbot,Our project is an AI-powered chatbot designed to provide mental health and emotional support to students. Utilizing Gemini’s advanced nat…,11,"on Oct 2, 2024"
Himesh-boop/Freud,https://github.com/Himesh-boop/Freud,Mental Health Ai Assistant,1,on Feb 15
